obs_1,cluster_2
obs_2,cluster_2
obs_3,cluster_2
obs_4,cluster_11
obs_5,cluster_10
obs_6,cluster_2
obs_7,cluster_2
obs_8,cluster_2
obs_9,cluster_2
obs_10,cluster_13
obs_11,cluster_10
obs_12,cluster_13
obs_13,cluster_2
obs_14,cluster_2
obs_15,cluster_13
obs_16,cluster_4
obs_17,cluster_11
obs_18,cluster_11
obs_19,cluster_10
obs_20,cluster_10
obs_21,cluster_5
obs_22,cluster_5
obs_23,cluster_10
obs_24,cluster_5
obs_25,cluster_2
obs_26,cluster_13
obs_27,cluster_6
obs_28,cluster_6
obs_29,cluster_11
obs_30,cluster_10
obs_31,cluster_2
obs_32,cluster_10
obs_33,cluster_10
obs_34,cluster_11
obs_35,cluster_0
obs_36,cluster_0
obs_37,cluster_0
obs_38,cluster_0
obs_39,cluster_7
obs_40,cluster_7
obs_41,cluster_7
obs_42,cluster_7
obs_43,cluster_7
obs_44,cluster_7
obs_45,cluster_7
obs_46,cluster_7
obs_47,cluster_0
obs_48,cluster_0
obs_49,cluster_7
obs_50,cluster_7
obs_51,cluster_7
obs_52,cluster_7
obs_53,cluster_7
obs_54,cluster_7
obs_55,cluster_7
obs_56,cluster_7
obs_57,cluster_2
obs_58,cluster_7
obs_59,cluster_0
obs_60,cluster_0
obs_61,cluster_0
obs_62,cluster_0
obs_63,cluster_0
obs_64,cluster_7
obs_65,cluster_0
obs_66,cluster_7
obs_67,cluster_0
obs_68,cluster_7
obs_69,cluster_7
obs_70,cluster_7
obs_71,cluster_7
obs_72,cluster_7
obs_73,cluster_7
obs_74,cluster_7
obs_75,cluster_0
obs_76,cluster_0
obs_77,cluster_7
obs_78,cluster_7
obs_79,cluster_0
obs_80,cluster_7
obs_81,cluster_7
obs_82,cluster_7
obs_83,cluster_7
obs_84,cluster_7
obs_85,cluster_7
obs_86,cluster_0
obs_87,cluster_0
obs_88,cluster_0
obs_89,cluster_7
obs_90,cluster_0
obs_91,cluster_0
obs_92,cluster_0
obs_93,cluster_0
obs_94,cluster_7
obs_95,cluster_7
obs_96,cluster_7
obs_97,cluster_7
obs_98,cluster_7
obs_99,cluster_7
obs_100,cluster_0
